,Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
0,11095654,1,4/29/2016 0:00,4/29/2016 0:03,1,1.1,-73.96004486,40.78223037719727,1,N,-73.97254944,40.78240966796875,1,5.5,0.5,0.5,0.75,0,0.3,7.55
1,11095655,1,4/29/2016 0:00,4/29/2016 0:05,1,1.4,-74.00873566,40.719573974609375,1,N,-74.00269318,40.73938751220703,2,6.5,0.5,0.5,0,0,0.3,7.8
2,11095656,2,4/29/2016 0:00,4/29/2016 0:16,5,3.32,-73.98420715,40.74441146850585,1,N,-73.95040131,40.77560043334961,1,13.5,0.5,0.5,2.96,0,0.3,17.76
3,11095657,2,4/29/2016 0:00,4/29/2016 0:00,1,3.12,-74.00324249,40.75199890136719,1,N,-73.99770355,40.72166824,2,14,0.5,0.5,0,0,0.3,15.3
4,11095658,2,4/29/2016 0:00,4/29/2016 0:00,1,0.42,-73.97150421,40.75704574584961,2,N,-73.97558594,40.75180435180664,2,52,0,0.5,0,0,0.3,52.8
5,11095659,2,4/29/2016 0:00,4/29/2016 0:00,4,3.42,-73.98178864,40.74618148803711,1,N,-73.95288849,40.72705078,1,18.5,1,0.5,5.17,5.54,0.3,31.01
6,11095660,2,4/29/2016 0:00,4/29/2016 0:00,1,10.03,-73.9860611,40.74035645,1,N,-73.84355164,40.755218505859375,2,34,1,0.5,0,5.54,0.3,41.34
7,11095661,1,4/29/2016 0:00,4/29/2016 0:17,1,3.8,-73.99363708,40.72029876708984,1,N,-73.95870972,40.76416397094727,1,15,0.5,0.5,3.26,0,0.3,19.56
8,11095662,1,4/29/2016 0:00,4/29/2016 0:12,1,3.3,-73.98919678,40.73038482666016,1,N,-73.9957428,40.76427459716797,1,12,0.5,0.5,2.65,0,0.3,15.95
9,11095663,1,4/29/2016 0:00,4/29/2016 0:19,2,5.7,-73.97992706,40.75546646118164,1,N,-73.94692993,40.80570983886719,1,18,0.5,0.5,3.86,0,0.3,23.16
10,11095664,1,4/29/2016 0:00,4/29/2016 0:23,2,6.3,-73.94330597,40.78959274291992,1,N,-73.89781952,40.74606704711913,2,21.5,0.5,0.5,0,0,0.3,22.8
11,11095665,2,4/29/2016 0:00,4/29/2016 0:19,2,6.7,-73.99376678,40.72082138061523,1,N,-73.94301605,40.785682678222656,1,22,0.5,0.5,4.66,0,0.3,27.96
12,11095666,2,4/29/2016 0:00,4/29/2016 0:20,1,4.16,-73.99243164,40.72435760498047,1,N,-73.95662689,40.76692199707031,1,17,0.5,0.5,3.66,0,0.3,21.96
13,11095667,2,4/29/2016 0:00,4/29/2016 0:19,5,5.56,-74.00434113,40.725494384765625,1,N,-73.99207306,40.66647720336913,1,19.5,0.5,0.5,4.16,0,0.3,24.96
14,11095668,1,4/29/2016 0:00,4/29/2016 0:09,1,1.5,-74.00627899,40.73356628417969,1,N,-73.98947906,40.73023223876953,2,8,0.5,0.5,0,0,0.3,9.3
15,11095669,1,4/29/2016 0:00,4/29/2016 0:07,1,1.2,-73.98416138,40.72515487670898,1,N,-73.99752045,40.72596740722656,1,7,0.5,0.5,2.05,0,0.3,10.35
16,11095670,1,4/29/2016 0:00,4/29/2016 0:16,1,4.8,-73.99362946,40.72153854370117,1,N,-73.95697784,40.68469238,2,17,0.5,0.5,0,0,0.3,18.3
17,11095671,2,4/29/2016 0:00,4/29/2016 0:09,2,1.89,-73.98417664,40.74876403808594,1,N,-73.98877716,40.72708129882813,1,8.5,0.5,0.5,1.96,0,0.3,11.76
18,11095672,2,4/29/2016 0:00,4/29/2016 0:15,1,2.96,-73.98700714,40.76602935791016,1,N,-73.98267365,40.73527145385742,1,12.5,0.5,0.5,2.76,0,0.3,16.56
19,11095673,2,4/29/2016 0:00,4/29/2016 0:08,1,2.06,-73.99263,40.72417068481445,1,N,-74.0069809,40.74376678466797,1,9,0.5,0.5,2.06,0,0.3,12.36
20,11095674,2,4/29/2016 0:00,4/29/2016 0:19,1,3.96,-73.98831177,40.732120513916016,1,N,-73.96862793,40.69706726074219,1,16.5,0.5,0.5,4.45,0,0.3,22.25
21,11095675,1,4/29/2016 0:00,4/29/2016 0:03,1,0.6,-73.97145081,40.75797271728516,1,N,-73.97209167,40.75057220458984,1,4.5,0.5,0.5,1.15,0,0.3,6.95
22,11095676,1,4/29/2016 0:00,4/29/2016 0:16,1,6.5,-73.99099731,40.75123596191406,1,N,-73.95397949,40.82127762,1,20.5,0.5,0.5,1,0,0.3,22.8
23,11095677,1,4/29/2016 0:00,4/29/2016 0:08,1,1.2,-73.99282837,40.74140167236328,1,N,-74.00775146,40.73199081420898,1,7.5,0.5,0.5,1.75,0,0.3,10.55
24,11095678,1,4/29/2016 0:00,4/29/2016 0:14,2,3.2,-73.97148132,40.75498962402344,1,N,-73.93251038,40.76487731933594,2,13.5,0.5,0.5,0,0,0.3,14.8
25,11095679,2,4/29/2016 0:00,4/29/2016 0:09,5,2.99,-73.95639801,40.71425628662109,1,N,-73.90438843,40.70915222167969,1,11,0.5,0.5,2.46,0,0.3,14.76
26,11095680,1,4/29/2016 0:00,4/29/2016 0:07,1,0.9,-73.99411011,40.72677230834961,1,N,-73.98145294,40.72910690307617,1,6.5,0.5,0.5,1,0,0.3,8.8
27,11095681,1,4/29/2016 0:00,4/29/2016 0:06,1,1.1,-73.99102783,40.75054931640625,1,N,-73.98158264,40.741172790527344,1,6.5,0.5,0.5,1,0,0.3,8.8
28,11095682,1,4/29/2016 0:00,4/29/2016 0:34,2,6.6,-73.9916153,40.76462173461913,1,N,-73.96303558,40.719051361083984,1,27,0.5,0.5,4.25,0,0.3,32.55
29,11095683,2,4/29/2016 0:00,4/29/2016 0:11,3,6.54,-73.78827667,40.64145660400391,1,N,-73.79946899,40.71037673950195,2,19,0.5,0.5,0,0,0.3,20.3
30,11095684,2,4/29/2016 0:00,4/29/2016 0:20,1,2.32,-74.00252533,40.74116516113281,1,N,-73.99822998,40.72104644775391,1,14,0.5,0.5,3.06,0,0.3,18.36
31,11095685,2,4/29/2016 0:00,4/29/2016 0:04,5,0.87,-73.97266388,40.76200866699219,1,N,-73.96131897,40.76541519165039,2,5,0.5,0.5,0,0,0.3,6.3
32,11095686,2,4/29/2016 0:00,4/29/2016 0:25,6,4.46,-73.99143219,40.73519516,1,N,-73.98051453,40.68138122558594,1,19.5,0.5,0.5,5.2,0,0.3,26
33,11095687,1,4/29/2016 0:00,4/29/2016 0:08,1,1.8,-73.98820496,40.74993896484375,1,N,-73.98919678,40.768211364746094,1,8,0.5,0.5,2.3,0,0.3,11.6
34,11095688,1,4/29/2016 0:00,4/29/2016 0:06,1,1.4,-73.96672821,40.77299118041992,1,N,-73.95026398,40.77985382080078,1,7,0.5,0.5,1.66,0,0.3,9.96
35,11095689,2,4/29/2016 0:00,4/29/2016 0:04,1,0.92,-73.95787811,40.77618408203125,1,N,-73.94712067,40.77754211425781,2,5.5,0.5,0.5,0,0,0.3,6.8
36,11095690,2,4/29/2016 0:00,4/29/2016 0:08,1,1.4,-73.98547363,40.73979949951172,1,N,-74.0014267,40.73445129394531,1,7.5,0.5,0.5,1.76,0,0.3,10.56
37,11095691,2,4/29/2016 0:00,4/29/2016 0:29,1,7.63,-73.99230194,40.72478103637695,1,N,-73.92854309,40.76477813720703,1,26.5,0.5,0.5,5.56,0,0.3,33.36
38,11095692,1,4/29/2016 0:00,4/29/2016 0:12,1,4,-74.01120758,40.70398712158203,1,N,-73.99169159,40.72649383544922,1,14,0.5,0.5,1,0,0.3,16.3
39,11095693,2,4/29/2016 0:00,4/29/2016 0:16,2,2.58,-73.98847961,40.72157287597656,1,N,-73.98055267,40.75138092041016,1,12,0.5,0.5,1,0,0.3,14.3
40,11095694,2,4/29/2016 0:00,4/29/2016 0:08,1,2.36,-73.98566437,40.73826599121094,1,N,-73.99806213,40.760738372802734,1,9,0.5,0.5,2.06,0,0.3,12.36
41,11095695,1,4/29/2016 0:00,4/29/2016 0:21,1,4.2,-73.98313141,40.77111053466797,1,N,-74.01074219,40.72019577026367,1,17,0.5,0.5,2,0,0.3,20.3
42,11095696,1,4/29/2016 0:00,4/29/2016 0:04,1,0.6,-73.99306488,40.74287796020508,1,N,-73.98278809,40.73939514160156,1,5,0.5,0.5,1.25,0,0.3,7.55
